nombre_comuna,comuna,poblacion,ytotcor,numero_cabildos,cabildo_per_capita
aisen,11201,27965,5.35304226623728,32,1.14
algarrobo,05602,10588,5.53470482882193,15,1.42
alhue,13502,5816,5.20217534085584,3,0.52
alto biobio,08314,6034,4.38567621683975,2,0.33
alto del carmen,03302,6412,4.64439089914137,2,0.31
alto hospicio,01107,118413,5.34710753071747,24,0.2
ancud,10202,44128,5.14166355650266,15,0.34
andacollo,04103,11488,5.04342511691925,8,0.7
angol,09201,55570,5.34710753071747,39,0.7
antartica,12202,196,NA,NA,NA
antofagasta,02101,384065,5.85793315448346,206,0.54
antuco,08302,3926,4.55626351503201,2,0.51
arauco,08202,38363,5.09884761632905,13,0.34
arica,15101,239710,5.30641449613549,172,0.72
buin,13402,84651,5.40558306618976,22,0.26
bulnes,08402,22002,4.5768221504726,13,0.59
cabildo,05402,20137,5.07676629656208,9,0.45
cabo de hornos,12201,2862,NA,7,2.45
cabrero,08303,29357,4.94383287895004,7,0.24
calama,02201,179200,5.81258605615422,145,0.81
calbuco,10102,35073,4.4564729424428,8,0.23
caldera,03102,17830,5.18529423455487,11,0.62
calera de tango,13403,25060,5.34710753071747,7,0.28
calle larga,05302,14712,5.20327839996208,6,0.41
camarones,15102,778,5.15905529921453,2,2.57
camina,01402,1278,4.447246564225,2,1.56
canela,04202,9914,4.44406789963623,21,2.12
canete,08203,34260,4.39189032811077,24,0.7
carahue,09102,26515,4.42524176336291,9,0.34
cartagena,05603,20396,5.07517381523383,12,0.59
casablanca,05102,29333,5.13579843705026,12,0.41
castro,10201,49068,5.24702407216049,28,0.57
catemu,05702,14062,5.24340437104488,8,0.57
cauquenes,07201,40401,4.78749174278205,47,1.16
cerrillos,13102,86240,5.36090007007063,43,0.5
cerro navia,13103,158506,5.29831736654804,39,0.25
chaiten,10401,3967,NA,4,1.01
chanaral,03201,13698,5.34710753071747,8,0.58
chanco,07202,9037,4.93047313484422,8,0.89
chepica,06302,16196,4.74748538775966,6,0.37
chiguayante,08103,100157,5.29831736654804,40,0.4
chile chico,11401,5127,5.46973173901718,12,2.34
chillan,08401,180348,5.02219818546071,117,0.65
chillan viejo,08406,33146,4.89783979995091,13,0.39
chimbarongo,06303,37660,5.17445337932565,16,0.42
cholchol,09121,11936,4.49441738025291,4,0.34
chonchi,10203,15365,4.60517018598809,5,0.33
cisnes,11202,5347,5.30454791629867,3,0.56
cobquecura,08403,5689,4.55563849695704,5,0.88
cochamo,10103,4078,NA,1,0.25
cochrane,11301,3382,5.38736250737062,4,1.18
codegua,06102,14392,5.29665348306133,9,0.63
coelemu,08404,17004,4.77350268390193,7,0.41
coihaique,11101,61081,5.34710753071747,98,1.6
coihueco,08405,25933,4.42214237985878,19,0.73
coinco,06103,7217,5.00143308333146,2,0.28
colbun,07402,19499,4.60517018598809,10,0.51
colchane,01403,1688,NA,3,1.78
colina,13301,124958,5.24702407216049,55,0.44
collipulli,09202,24638,4.89034912822175,12,0.49
coltauco,06104,19894,5.19295685089021,7,0.35
combarbala,04302,15379,4.9744310933579,14,0.91
concepcion,08101,229118,5.42000388480464,211,0.92
conchali,13104,141185,5.38354966191003,63,0.45
concon,05103,50154,5.91350300563827,44,0.88
constitucion,07102,50888,5.15905529921453,12,0.24
contulmo,08204,5549,4.88249126827771,6,1.08
copiapo,03101,175524,5.7037824746562,127,0.72
coquimbo,04102,236799,5.42164058258004,93,0.39
coronel,08102,116256,5.16786408880626,29,0.25
corral,14102,5761,4.65396035015752,2,0.35
cunco,09103,18990,4.81675924046261,11,0.58
curacautin,09203,17164,4.7303303877613,14,0.82
curacavi,13503,29980,5.35639285974214,10,0.33
curaco de velez,10204,4199,4.4074263143066,2,0.48
curanilahue,08205,34977,5.16478597392351,23,0.66
curarrehue,09104,7466,4.65712676035683,3,0.4
curepto,07103,10799,4.93219075311818,10,0.93
curico,07301,145344,5.33913776106701,99,0.68
dalcahue,10205,15616,5.16001460904462,1,0.06
diego de almagro,03202,14939,5.79094745095996,27,1.81
donihue,06105,20499,5.33101202355258,17,0.83
el bosque,13105,194555,5.29831736654804,105,0.54
el carmen,08407,12851,4.49949295351412,14,1.09
el monte,13602,36377,5.35226326466948,8,0.22
el quisco,05604,13359,5.36559743869798,8,0.6
el tabo,05605,10351,5.35639285974214,8,0.77
empedrado,07104,4477,4.90570431580367,4,0.89
ercilla,09204,9168,4.68165889336997,4,0.44
estacion central,13106,145749,5.52146091786225,87,0.6
extranjero,NA,NA,NA,189,NA
florida,08104,8843,4.4564729424428,7,0.79
freire,09105,24584,4.51332898232251,6,0.24
freirina,03303,6992,5.16478597392351,5,0.72
fresia,10104,12737,4.4564729424428,5,0.39
frutillar,10105,17312,4.79905792915341,18,1.04
futaleufu,10402,3417,NA,1,0.29
futrono,14202,16564,4.60517018598809,5,0.3
galvarino,09106,12523,4.69389966952037,4,0.32
general lagos,15202,577,NA,1,1.73
gorbea,09107,15649,4.52156572613266,9,0.58
graneros,06106,34212,5.35894198836447,18,0.53
guaitecas,11203,1754,NA,2,1.14
hijuelas,05503,18143,5.12396397940326,5,0.28
hualaihue,10403,11165,NA,4,0.36
hualane,07302,10230,4.78749174278205,4,0.39
hualpen,08112,109436,5.29831736654804,38,0.35
hualqui,08105,25745,4.44656124955382,4,0.16
huara,01404,2943,5.29831736654804,5,1.7
huasco,03304,10429,5.45023555622258,2,0.19
huechuraba,13107,97470,5.34500055068841,56,0.57
illapel,04201,32887,5.01063529409626,29,0.88
independencia,13108,84354,5.29831736654804,70,0.83
iquique,01101,199629,5.7037824746562,172,0.86
isla de maipo,13603,36024,5.36519533653991,16,0.44
isla de pascua,05201,6600,NA,7,1.06
juan fernandez,05104,863,NA,1,1.16
la calera,05502,55343,5.19295685089021,28,0.51
la cisterna,13109,92831,5.79909265446053,47,0.51
la cruz,05504,19667,5.34710753071747,10,0.51
la estrella,06202,3314,5.20412755889238,2,0.6
la florida,13110,389392,5.6886705288921,241,0.62
la granja,13111,143558,5.30578938138674,40,0.28
la higuera,04104,4686,4.97096888163379,6,1.28
la ligua,05401,33883,5.24730298063032,21,0.62
la pintana,13112,213702,5.29831736654804,53,0.25
la reina,13113,101614,6.18620862390049,213,2.1
la serena,04101,221021,5.41332321605712,157,0.71
la union,14201,43484,5.01063529409626,35,0.8
lago ranco,14203,10854,4.4074263143066,5,0.46
lago verde,11102,982,NA,2,2.04
laguna blanca,12102,567,NA,2,3.53
laja,08304,24066,4.69421532681067,7,0.29
lampa,13302,91936,5.36617459343469,23,0.25
lanco,14103,17777,4.47781397334708,8,0.45
las cabras,06107,24134,4.90465606855842,13,0.54
las condes,13114,285140,6.62450802483714,412,1.44
lautaro,09108,37119,4.78345025362233,19,0.51
lebu,08201,26618,4.4074263143066,13,0.49
licanten,07303,7253,4.88280192258637,6,0.83
limache,05802,45709,5.19954620444802,24,0.53
linares,07401,91193,5.13064399925987,72,0.79
litueche,06203,6355,4.86753445045558,6,0.94
llaillay,05703,24826,5.01063529409626,10,0.4
llanquihue,10107,18137,5.01063529409626,12,0.66
lo barnechea,13115,106187,5.76832099579377,71,0.67
lo espejo,13116,120145,5.31279702843781,48,0.4
lo prado,13117,113146,5.47789766953661,104,0.92
lolol,06304,7022,5.01403617121901,6,0.85
loncoche,09109,23354,4.78749174278205,15,0.64
longavi,07403,29486,4.91510042238393,12,0.41
lonquimay,09205,10964,4.44724070882412,3,0.27
los alamos,08206,23925,4.62252865228424,9,0.38
los andes,05301,68401,5.42495222012215,84,1.23
los angeles,08301,196454,5.0439636815447,96,0.49
los lagos,14104,22727,5.01063529409626,13,0.57
los muermos,10106,16441,4.73753527374343,8,0.49
los sauces,09206,7838,4.56018328025369,2,0.26
los vilos,04203,20259,4.80626442810533,30,1.48
lota,08106,47539,5.15809506822534,13,0.27
lumaco,09207,11270,4.53617374306619,7,0.62
machali,06108,53118,5.35894198836447,43,0.81
macul,13118,124492,5.53470482882193,134,1.08
mafil,14105,7461,4.49153105249704,2,0.27
maipu,13119,554548,5.7037824746562,186,0.34
malloa,06109,13905,5.11844580606062,4,0.29
marchihue,06204,7623,5.16478597392351,4,0.52
maria elena,02302,5000,5.76832099579377,2,0.4
maria pinto,13504,13066,5.34710753071747,5,0.38
mariquina,14106,22385,4.45912655505473,8,0.36
maule,07105,53238,5.19295685089021,23,0.43
maullin,10108,15647,4.76032607470928,11,0.7
mejillones,02102,11541,5.76832099579377,6,0.52
melipeuco,09110,5835,4.46120165832618,4,0.69
melipilla,13501,118142,5.29831736654804,38,0.32
molina,07304,42409,5.34710753071747,17,0.4
monte patria,04303,33952,4.70048036579242,21,0.62
mostazal,06110,26693,5.33198422401852,10,0.37
mulchen,08305,30484,4.99656679521738,4,0.13
nacimiento,08306,28471,4.60517018598809,3,0.11
nancagua,06305,17113,5.14555655374131,13,0.76
natales,12401,21714,5.39362754635236,24,1.11
navidad,06205,5980,4.86753445045558,3,0.5
negrete,08307,10348,4.60517018598809,6,0.58
ninhue,08408,5817,4.60517018598809,3,0.52
niquen,08409,11653,4.6439917810428,2,0.17
nogales,05506,23859,5.29142365945717,10,0.42
nueva imperial,09111,33528,4.4074263143066,17,0.51
nunoa,13120,225109,6.60280360840532,408,1.81
ohiggins,11302,689,NA,2,2.9
olivar,06111,15248,5.29831736654804,5,0.33
ollague,02202,311,NA,1,3.22
olmue,05803,16075,5.0665492301912,14,0.87
osorno,10301,157855,5.16763904290592,119,0.75
ovalle,04301,121868,5.22037204116306,52,0.43
padre hurtado,13604,57287,5.34710753071747,13,0.23
padre las casas,09112,89163,4.98485926148498,24,0.27
paihuano,04105,4492,4.9416424226093,8,1.78
paillaco,14107,20956,4.78749174278205,23,1.1
paine,13404,68101,5.34710753071747,18,0.26
palena,10404,2125,NA,3,1.41
palmilla,06306,13379,5.28320372873799,7,0.52
panguipulli,14108,36527,4.81984195286048,8,0.22
panquehue,05704,7361,5.34710753071747,5,0.68
papudo,05403,5310,5.38955563098228,4,0.75
paredones,06206,6389,4.65396035015752,7,1.1
parral,07404,38552,4.6987151723912,15,0.39
pedro aguirre cerda,13121,122462,5.37538025434947,122,1
pelarco,07106,7944,5.083774225453,6,0.76
pelluhue,07203,7678,5.00058495824275,27,3.52
pemuco,08410,9297,4.70048036579242,4,0.43
penaflor,13605,91635,5.48063892334199,37,0.4
penalolen,13122,243847,5.36675608452029,138,0.57
pencahue,07107,8840,5.07517381523383,5,0.57
penco,08107,51853,5.07517381523383,7,0.13
peralillo,06307,11658,5.0221619396681,9,0.77
perquenco,09113,7300,4.52347194200359,2,0.27
petorca,05404,10351,5.02058562494942,6,0.58
peumo,06112,16181,5.31269353249254,6,0.37
pica,01405,6653,5.07517381523383,13,1.95
pichidegua,06113,20317,5.08663290832272,3,0.15
pichilemu,06201,14502,5.01063529409626,22,1.52
pinto,08411,11363,4.49980967033027,6,0.53
pirque,13202,22403,5.40942036255945,18,0.8
pitrufquen,09114,24794,4.81647189867568,7,0.28
placilla,06308,9293,5.00536141159355,12,1.29
portezuelo,08412,5627,4.5768221504726,2,0.36
porvenir,12301,7615,5.7037824746562,10,1.31
pozo almonte,01401,14156,5.44063256831961,14,0.99
primavera,12302,1269,NA,2,1.58
providencia,13123,149165,6.68461172766793,553,3.71
puchuncavi,05105,18115,5.12430915791754,6,0.33
pucon,09115,28146,5.18178355029209,14,0.5
pudahuel,13124,235629,5.47366885542352,47,0.2
puente alto,13201,617914,5.37765059182922,371,0.6
puerto montt,10101,248230,5.15293314876089,146,0.59
puerto octay,10302,9465,4.92342389710396,6,0.63
puerto varas,10109,41182,5.41603373331543,34,0.83
pumanque,06309,3469,4.92362391710663,2,0.58
punitaqui,04304,10868,4.68054200201173,6,0.55
punta arenas,12101,128810,5.65368846084413,161,1.25
puqueldon,10206,3986,4.8097056762277,1,0.25
puren,09208,12926,4.5768221504726,5,0.39
purranque,10303,21354,4.94117802908103,19,0.89
putaendo,05705,16469,5.27907338318128,10,0.61
putre,15201,2084,5.08553866412292,5,2.4
puyehue,10304,10988,4.68991566443415,12,1.09
queilen,10207,5549,4.56152650592154,1,0.18
quellon,10208,31122,4.88318063874314,17,0.55
quemchi,10209,9074,5.01111184719346,2,0.22
quilaco,08308,4097,5.15905529921453,1,0.24
quilicura,13125,216857,5.6436785505865,53,0.24
quilleco,08309,9964,4.4564729424428,5,0.5
quillon,08413,16914,4.85056825820991,4,0.24
quillota,05501,94749,5.34710753071747,60,0.63
quilpue,05801,170853,5.39009403813147,80,0.47
quinchao,10210,8826,5.0957941228442,6,0.68
quinta de tilcoco,06114,13333,5.32300997913841,11,0.83
quinta normal,13126,115592,5.44698734042152,166,1.44
quintero,05107,28124,5.01063529409626,10,0.36
quirihue,08414,13526,4.85126434567911,6,0.44
rancagua,06101,234048,5.36207355048965,146,0.62
ranquil,08415,6065,4.5427041823683,1,0.16
rauco,07305,10115,5.25749537202778,7,0.69
recoleta,13127,169372,5.31073988654659,199,1.17
renaico,09209,10662,4.9416424226093,1,0.09
renca,13128,152399,5.39277718489752,35,0.23
rengo,06115,61700,5.19295685089021,21,0.34
requinoa,06116,32827,5.35776482519146,7,0.21
retiro,07405,19696,4.7999142627806,4,0.2
rinconada,05303,10703,5.34710753071747,6,0.56
rio bueno,14204,33069,4.91510408986783,21,0.64
rio claro,07108,13505,5.29831736654804,2,0.15
rio hurtado,04305,4997,5.01063529409626,10,2
rio ibanez,11402,2331,4.91882332175643,6,2.57
rio negro,10305,13517,4.65396035015752,10,0.74
rio verde,12103,760,NA,1,1.32
romeral,07306,15234,5.1964230588667,12,0.79
saavedra,09116,12840,4.51117813706743,6,0.47
sagrada familia,07307,19596,5.18878147947973,2,0.1
salamanca,04204,27410,4.86753445045558,27,0.99
san antonio,05601,97136,5.29831736654804,43,0.44
san bernardo,13401,300435,5.33299894725529,80,0.27
san carlos,08416,53249,4.8522021241508,24,0.45
san clemente,07109,41746,4.84418708645859,20,0.48
san esteban,05304,18765,5.34710753071747,9,0.48
san fabian,08417,4070,4.6218945508805,2,0.49
san felipe,05701,74337,5.34710753071747,66,0.89
san fernando,06301,74030,5.27421932716398,57,0.77
san gregorio,12104,621,NA,1,1.61
san ignacio,08418,15943,4.4074263143066,5,0.31
san javier,07406,41157,4.998518852251,52,1.26
san joaquin,13129,104588,5.4380793089232,59,0.56
san jose de maipo,13203,15083,5.31073988654659,19,1.26
san juan de la costa,10306,7410,4.4888161288554,11,1.48
san miguel,13130,112686,5.7037824746562,112,0.99
san nicolas,08419,11544,4.70048036579242,11,0.95
san pablo,10307,10462,4.4495859791518,6,0.57
san pedro,13505,9765,4.60517018598809,4,0.41
san pedro de atacama,02203,7626,5.46911022251803,3,0.39
san pedro de la paz,08108,135093,5.15158204155896,32,0.24
san rafael,07110,9908,5.01407935649881,12,1.21
san ramon,13131,99860,5.26785815906333,38,0.38
san rosendo,08310,3916,4.66814498514948,1,0.26
san vicente de tagua tagua,06117,47317,5.29831736654804,19,0.4
santa barbara,08311,12884,4.87541867274733,7,0.54
santa cruz,06310,37810,5.27299955856375,20,0.53
santa juana,08109,13725,4.53755493657252,3,0.22
santa maria,05706,15836,5.09839888809972,7,0.44
santiago,13101,372330,6.08590389330131,793,2.13
santo domingo,05606,9432,5.07517381523383,6,0.64
sierra gorda,02103,3151,5.59084144753339,1,0.32
talagante,13601,71378,5.34710753071747,27,0.38
talca,07101,234760,5.2985173465507,150,0.64
talcahuano,08110,178500,5.38546248459393,47,0.26
taltal,02104,13174,5.52644845937329,4,0.3
temuco,09101,290234,5.24702407216049,224,0.77
teno,07308,28591,5.20500618740988,8,0.28
teodoro schmidt,09117,16147,4.41516518700625,9,0.56
tierra amarilla,03103,17530,5.53799153128801,16,0.91
tiltil,13303,17773,5.48756074549596,15,0.84
timaukel,12303,398,NA,1,2.51
tirua,08207,10477,4.72425015803655,2,0.19
tocopilla,02301,27807,5.6368980930271,13,0.47
tolten,09118,11391,4.47344287930716,5,0.44
tome,08111,55788,5.14749447681345,20,0.36
torres del paine,12402,735,NA,1,1.36
tortel,11303,659,NA,2,3.03
traiguen,09210,19771,4.96473794170922,13,0.66
treguaco,08420,5295,4.4564729424428,7,1.32
tucapel,08312,14457,4.53345933843409,6,0.42
valdivia,14101,169735,5.23110861685459,135,0.8
vallenar,03301,53338,5.33084505824347,32,0.6
valparaiso,05101,295731,5.34710753071747,289,0.98
vichuquen,07309,5127,4.4564729424428,5,0.98
victoria,09211,34911,5.12396397940326,14,0.4
vicuna,04106,26781,5.19295685089021,12,0.45
vilcun,09119,27996,4.70048036579242,10,0.36
villa alegre,07407,15306,4.63795678299943,4,0.26
villa alemana,05804,141729,5.39362754635236,52,0.37
villarrica,09120,55582,5.05079146700649,23,0.41
vina del mar,05109,325195,5.4763945118914,206,0.63
vitacura,13132,88548,6.90775527898214,151,1.71
yerbas buenas,07408,18313,4.91234969211039,8,0.44
yumbel,08313,21593,4.83334107901633,9,0.42
yungay,08421,18293,4.51286847619622,8,0.44
zapallar,05405,6223,5.34710753071747,2,0.32
